,Word,Frequency,artist
47,problemkindmukke,2,zedd
48,alter,2,zedd
49,ner,2,zedd
0,hundert,14,kalim
1,riesen,13,kalim
2,jahre,10,kalim
3,runter,9,kalim
4,digga,8,kalim
5,fünfzig,8,kalim
6,bra,8,kalim
7,hunderttausend,8,kalim
8,rap,7,kalim
9,leuchtende,7,kalim
10,sterne,7,kalim
11,mann,6,kalim
12,vergehn,6,kalim
13,hotel,5,kalim
14,schlampe,5,kalim
15,kurdo,5,kalim
16,kleinen,5,kalim
17,worte,5,kalim
18,luka,4,kalim
19,meter,4,kalim
20,fall,4,kalim
21,nachts,4,kalim
22,henny,4,kalim
23,mund,4,kalim
24,nix,4,kalim
25,drunter,4,kalim
26,klunker,4,kalim
27,ficken,4,kalim
28,baoh,4,kalim
29,dicka,4,kalim
30,deutscher,4,kalim
31,kleine,4,kalim
32,gent,4,kalim
33,früher,4,kalim
34,bar,4,kalim
35,refrain,4,kalim
36,kante,3,kalim
37,bridge,3,kalim
38,lüge,3,kalim
39,gar,3,kalim
40,bars,3,kalim
41,kill,3,kalim
42,life,3,kalim
43,pain,3,kalim
44,bruder,3,kalim
45,hype,3,kalim
46,wahrheit,3,kalim
47,spiel,3,kalim
48,kam,3,kalim
49,rapper,3,kalim
0,hundert,14,gringo
1,obs,14,gringo
2,riesen,13,gringo
3,jahre,10,gringo
4,runter,9,gringo
5,digga,8,gringo
6,fünfzig,8,gringo
7,bra,8,gringo
8,hunderttausend,8,gringo
9,rap,7,gringo
10,leuchtende,7,gringo
11,sterne,7,gringo
12,nachts,6,gringo
13,mann,6,gringo
14,vergehn,6,gringo
15,hotel,5,gringo
16,schlampe,5,gringo
17,kurdo,5,gringo
18,bar,5,gringo
19,kleinen,5,gringo
20,worte,5,gringo
21,luka,4,gringo
22,meter,4,gringo
23,fall,4,gringo
24,henny,4,gringo
25,mund,4,gringo
26,nix,4,gringo
27,drunter,4,gringo
28,klunker,4,gringo
29,ficken,4,gringo
30,baoh,4,gringo
31,zeit,4,gringo
32,dicka,4,gringo
33,deutscher,4,gringo
34,kleine,4,gringo
35,kam,4,gringo
36,gent,4,gringo
37,früher,4,gringo
38,refrain,4,gringo
39,casper,4,gringo
40,marteria,4,gringo
41,kante,3,gringo
42,bridge,3,gringo
43,lüge,3,gringo
44,gar,3,gringo
45,bars,3,gringo
46,kill,3,gringo
47,gedacht,3,gringo
48,life,3,gringo
49,pain,3,gringo
0,digga,8,jay-z
1,fünfzig,8,jay-z
2,runter,8,jay-z
3,luka,4,jay-z
4,meter,4,jay-z
5,fall,4,jay-z
6,nachts,4,jay-z
7,henny,4,jay-z
8,mund,4,jay-z
9,hotel,4,jay-z
10,schlampe,4,jay-z
11,nix,4,jay-z
12,drunter,4,jay-z
13,klunker,4,jay-z
14,baoh,4,jay-z
15,kante,3,jay-z
16,mann,3,jay-z
17,problemkindmukke,2,jay-z
18,alter,2,jay-z
19,ner,2,jay-z
20,hohen,2,jay-z
21,geschmissen,2,jay-z
22,rrah,2,jay-z
23,bridge,2,jay-z
24,geheult,2,jay-z
25,zahnschmerzen,2,jay-z
26,schwöre,2,jay-z
27,gar,2,jay-z
28,dicka,2,jay-z
29,halt,2,jay-z
30,fresse,2,jay-z
31,jaynbeat,1,jay-z
32,beattag,1,jay-z
33,nutten,1,jay-z
34,erzähl,1,jay-z
35,schmier,1,jay-z
36,koka,1,jay-z
37,zähne,1,jay-z
38,schmerzen,1,jay-z
39,heulen,1,jay-z
40,wimmern,1,jay-z
41,brüder,1,jay-z
42,herzen,1,jay-z
43,brechen,1,jay-z
44,ficken,1,jay-z
45,scherzen,1,jay-z
46,hah,1,jay-z
47,leder,1,jay-z
48,gerste,1,jay-z
49,vernünftig,1,jay-z
0,runter,9,spongebozz
1,digga,8,spongebozz
2,fünfzig,8,spongebozz
3,mann,6,spongebozz
4,rap,6,spongebozz
5,hotel,5,spongebozz
6,luka,4,spongebozz
7,meter,4,spongebozz
8,fall,4,spongebozz
9,nachts,4,spongebozz
10,henny,4,spongebozz
11,mund,4,spongebozz
12,schlampe,4,spongebozz
13,nix,4,spongebozz
14,drunter,4,spongebozz
15,klunker,4,spongebozz
16,baoh,4,spongebozz
17,dicka,4,spongebozz
18,deutscher,4,spongebozz
19,kleine,4,spongebozz
20,jahre,4,spongebozz
21,kante,3,spongebozz
22,lüge,3,spongebozz
23,gar,3,spongebozz
24,kill,3,spongebozz
25,life,3,spongebozz
26,pain,3,spongebozz
27,bruder,3,spongebozz
28,wahrheit,3,spongebozz
29,label,3,spongebozz
30,nutten,2,spongebozz
31,problemkindmukke,2,spongebozz
32,alter,2,spongebozz
33,ner,2,spongebozz
34,hohen,2,spongebozz
35,geschmissen,2,spongebozz
36,rrah,2,spongebozz
37,bridge,2,spongebozz
38,geheult,2,spongebozz
39,erzähl,2,spongebozz
40,zahnschmerzen,2,spongebozz
41,brüder,2,spongebozz
42,ficken,2,spongebozz
43,ganze,2,spongebozz
44,zeit,2,spongebozz
45,schwöre,2,spongebozz
46,halt,2,spongebozz
47,fresse,2,spongebozz
48,bars,2,spongebozz
49,stört,2,spongebozz
0,digga,8,alan walker
1,fünfzig,8,alan walker
2,runter,8,alan walker
3,luka,4,alan walker
4,meter,4,alan walker
5,fall,4,alan walker
6,nachts,4,alan walker
7,henny,4,alan walker
8,mund,4,alan walker
9,hotel,4,alan walker
10,schlampe,4,alan walker
11,nix,4,alan walker
12,drunter,4,alan walker
13,klunker,4,alan walker
14,baoh,4,alan walker
15,kante,3,alan walker
16,mann,3,alan walker
17,problemkindmukke,2,alan walker
18,alter,2,alan walker
19,ner,2,alan walker
20,hohen,2,alan walker
21,geschmissen,2,alan walker
22,rrah,2,alan walker
23,bridge,2,alan walker
24,geheult,2,alan walker
25,zahnschmerzen,2,alan walker
26,schwöre,2,alan walker
27,gar,2,alan walker
28,dicka,2,alan walker
29,halt,2,alan walker
30,fresse,2,alan walker
31,jaynbeat,1,alan walker
32,beattag,1,alan walker
33,nutten,1,alan walker
34,erzähl,1,alan walker
35,schmier,1,alan walker
36,koka,1,alan walker
37,zähne,1,alan walker
38,schmerzen,1,alan walker
39,heulen,1,alan walker
40,wimmern,1,alan walker
41,brüder,1,alan walker
42,herzen,1,alan walker
43,brechen,1,alan walker
44,ficken,1,alan walker
45,scherzen,1,alan walker
46,hah,1,alan walker
47,leder,1,alan walker
48,gerste,1,alan walker
49,vernünftig,1,alan walker
0,digga,8,dendemann
1,fünfzig,8,dendemann
2,runter,8,dendemann
3,luka,4,dendemann
4,meter,4,dendemann
5,fall,4,dendemann
6,nachts,4,dendemann
7,henny,4,dendemann
8,mund,4,dendemann
9,hotel,4,dendemann
10,schlampe,4,dendemann
11,nix,4,dendemann
12,drunter,4,dendemann
13,klunker,4,dendemann
14,baoh,4,dendemann
15,kante,3,dendemann
16,mann,3,dendemann
17,problemkindmukke,2,dendemann
18,alter,2,dendemann
19,ner,2,dendemann
20,hohen,2,dendemann
