,title,artist,year,info
519,someday at christmas,Stevie Wonder,1966,Peaked at No. 24 on Billboard's Christmas Singles chart.[85][499] A version by Mary J. Blige peaked at No. 87 on Billboard's Hot R&B/Hip-Hop Singles & Tracks chart in 2000.[147][500] A version by Jordan Hill peaked at No. 11 on Billboard's Hot Adult Contemporary Tracks in 2012.
521,someone is missing at christmas,Anne Cochran,2005,Peaked at No. 11 on the Hot Adult Contemporary Tracks.[501] From the album This is the Season.
522,song for a winter's night,Sarah McLachlan,1994,Written and originally recorded in 1966 by Canadian singer/songwriter Gordon Lightfoot for his 1967 album The Way I Feel. McLachlan's version of the song was recorded in 1994 and first appeared on the soundtrack to that year's remake of Miracle on 34th Street. McLachlan also included her version on her 2006 holiday album Wintersong.
523,the sound of christmas,Ramsey Lewis Trio,1961,
524,the star,Mariah Carey,2017,"Peaked at No. 6 on the Billboard Holiday Digital Song Sales chart in November 2017, and at No. 23 on the Billboard Adult Contemporary chart in early 2018."
525,step into christmas,Elton John,1973,"The B-side is another holiday tune by Elton titled ""Ho Ho Ho (Who'd Be a Turkey at Christmas)"".[76][502] The British indie-rock band The Wedding Present recorded a cover of ""Step Into Christmas"" that appeared on the 1991 various artists holiday compilation A Lump of Coal."
526,suzy snowflake,Rosemary Clooney,1951,Written by Sid Tepper and Roy Brodsky.[151]
527,sweet little baby boy,James Brown,1966,"Released as a two-part single, it reached No. 8 on the Billboard Hot 100 in 1966.[158] Also appeared in the Record World top 100 pop chart."
528,a swingin' little christmas,Jane Lynch featuring Kate Flannery & Tim Davis with The Tony Guerrero Quintet,2016,Peaked at No. 10 on the Billboard Adult Contemporary chart in early 2018.
529,take me back to toyland,Nat King Cole,1955,Peaked at No. 47 on Billboard's Top 100 Popular Records chart in 1956. Featuring the Nelson Riddle Orchestra and Chorus.[96][503]
530,take me home for christmas,Dan + Shay,2020,"Peaked at No. 2 on Billboard's Hot Country Songs chart on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Country Airplay (No. 37), Country Digital Song Sales (No. 4), Country Streaming Songs (No. 7), Digital Song Sales (No. 15), Holiday 100 (No. 25), Global 200 (No. 82), Holiday Digital Song Sales (No. 3), Holiday Streaming Songs (No. 26), Hot 100 (No. 48), and Streaming Songs (No. 29).[504]"
531,tennessee christmas,Amy Grant,1983,"Covered by Alabama in 1985, Steve Wariner in 1990, among other country and Contemporary Christian artists."
532,thank god for kids,Oak Ridge Boys,1982,Peaked at No. 3 for two weeks on Billboard's Hot Country Singles chart in early 1983.[150][505] A 2003 version by Kenny Chesney peaked at No. 60 on Billboard's Hot Country Singles & Tracks chart in early 2004.[8]
533,thank god it's christmas,Queen,1984,
534,thanks for christmas,XTC,1983,
535,that holiday feeling,Steve and Eydie,1964,"A 1998 cover by Michael Civisca and Mary Stahl was a regional hit in the Buffalo, New York area.[506]"
536,that's christmas to me,Pentatonix,2014,Peaked at No. 3 on Billboard's Adult Contemporary chart.[507]
537,that's what i want for christmas,Nancy Wilson,1963,Peaked at No. 6 on Billboard's Christmas Singles chart. Charted again in 1964. Featuring orchestra by O.B. Masingill.[85][508]
538,the night was anything but silent,Shiloh,2010,"The late Dan Adkins collaborated in writing the song, “The Night Was Anything But Silent.” It was later recorded by Jonathan White and Shiloh. The latter group also recorded a Latin version. [509]"
539,there is no christmas like a home christmas,Perry Como,1968,Originally recorded by Como in 1950. Re-recorded version peaked at No. 28 on Billboard's Christmas Singles chart in 1968. Featuring orchestration by Nick Perito and the Ray Charles Singers on backing vocals.[96]
540,there won't be any snow ,Derrik Roberts,1965,"Peaked at No. 8 on Billboard's Christmas Singles chart in 1965, and at No. 105 on Billboard's Bubbling Under Hot 100 Singles chart in 1966.[128] Included on the 1998 Westside Records compilation, Christmas Past."
541, home for the holidays,Perry Como,1954,"Featuring accompaniment by the Mitchell Ayres Orchestra and the Ray Charles Singers. Peaked at No. 8 on the Billboard Most Played by Jockeys chart on the week ending December 29, 1954, and at No. 18 on the Billboard Best Sellers in Stores chart one week earlier.[96][510] A second recording of the song by Como with the same backing accompaniment as the 1954 original was released in 1959. First entered the Billboard Hot 100 chart on the week ending December 29, 2018, peaking at No. 22 on the week ending January 2, 2021, following its second chart re-entry. Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 61), Holiday 100 (No. 13), Holiday Airplay (No. 14), Holiday Digital Song Sales (No. 50), Holiday Streaming Songs (No. 10), Hot 100 Recurrents (No. 8), and Streaming Songs (No. 18).[511]"
544,thirty-two feet – eight little tails,Gene Autry,1951,Peaked at No. 5 on Billboard's Best Selling Children's Records chart. Featuring orchestration by Carl Cotner.[214]
545,this christmas ,Donny Hathaway,1970,"Peaked at No. 11 on Billboard's Christmas Singles chart on the week ending December 23, 1972.[186] First entered Billboard's Hot 100 chart at No. 39 on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 62), Holiday 100 (No. 25), Holiday Digital Song Sales (No. 36), Holiday Streaming Songs (No. 27), Hot 100 Recurrents (No. 10), R&B Digital Song Sales (No. 10), R&B Streaming Songs (No. 6), R&B/Hip-Hop Streaming Songs (No. 6), and Streaming Songs (No. 27).[514]"
549,this christmas ,Matthew and Gunnar Nelson featuring Alyssa Bonagura,2015,Peaked at No. 17 on the Billboard Adult Contemporary chart.
550,this gift,98°,1999,Peaked at No. 49 on the Billboard Hot 100 singles chart and at No. 6 on Billboard's Adult Contemporary chart in early 2000.[100][518]
551,this is your gift,John Tesh,2002,Peaked at No. 19 on Billboard's Adult Contemporary chart. From the album Christmas Worship.[12][519]
552,this one's for the children,New Kids on the Block,1989,"Peaked at No. 7 on the Billboard Hot 100 singles chart, No. 27 on Billboard's Adult Contemporary chart and No. 55 on Billboard's Hot Black Singles chart in 1990.[100][520] The single also included ""Funky, Funky Xmas,"" from the group's holiday album Merry, Merry Christmas, as a second track."
553,this time of the year,Brook Benton,1959,"Peaked at No. 66 on the Billboard Hot 100 singles chart in 1959, and No. 12 on Billboard's Hot R&B Sides chart in 1960. Featuring orchestration by Belford Hendricks.[135][521] Another version by Brenda Lee charted in 1964, peaking at No. 12 on Billboard's Christmas Singles chart.[173]"
554,'til santa's gone ,Clint Black,1995,"Peaked at No. 58 on Billboard's Hot Country Singles & Tracks in 1996. Originally released in 1990 as a single, and on the albums Home for the Holidays and A Season of Harmony with the title ""Til' Santa's Gone (I Just Can't Wait)"".[135][522]"
555,time passages,Al Stewart,1978,"The most popular song on the Billboard Adult Contemporary Charts in 1978 and 1979.[523] Though released in December 1978 with a theme of going home for Christmas, the song has largely lost its association with Christmas over the years and is now aired more often in general recurrent rotation (in classic hits formats) than in Christmas rotations."
556,toyland,Doris Day,1964,From The Doris Day Christmas Album. Based on the Victor Herbert operetta Babes in Toyland. Also popular as an instrumental by countless artists.
557,trains and winter rains,Enya,2008,"Peaked at No. 27 on Billboard's Adult Contemporary chart.[524] Included on Enya's 2008 album, And Winter Came...."
558,'twas the night after christmas,Jeff Foxworthy,1996,Peaked at No. 67 on Billboard's Hot Country Singles & Tracks chart in 1997. Parody of the famous 1823 poem written by Clement Moore.[74][525]
559,'twas the night before christmas ,Fred Waring and His Pennsylvanians,1942,"A recording of Clement Moore's famous 1823 poem set to music by Ken Darby and orchestration by Harry Simeone, it first charted on Billboard's Best Selling Children's Records chart in 1949, peaking at No. 11, and again in 1952, peaking at No. 6. This first recording by Waring was released around Christmastime of 1942 on the 4-record album set, 'Twas The Night Before Christmas.[55] He went on to record it two more times; again for Decca Records in 1955,[526] and a third and final time for Capitol Records in stereo in 1963.[527] This 1963 recording became the most famous of the poem's musical adaptations.[528] The song also charted by Arthur Godfrey with backing orchestration by Archie Bleyer on Billboard's Best Selling Children's Records chart in 1950.[93]"
560,the twelve days of christmas,Mitch Miller and the Gang,1961,"One of the most recorded songs each year. First known recorded version was by Bing Crosby and The Andrews Sisters in 1949. The comedy duo of Bob & Doug McKenzie recorded a parody of this song in 1981. Other popular parodies that still receive airplay on radio stations around the holiday season include ""The Twelve Pains of Christmas"" by the Bob Rivers Comedy Corp (1987), and ""Redneck 12 Days of Christmas"" by Jeff Foxworthy (1995).[74] During the Christmas season of 2008, a comical a cappella version by Straight No Chaser reached No. 5 on Billboard's Adult Contemporary chart."
561,the twelve gifts of christmas,Allan Sherman,1963,"Peaked at No. 5 on Billboard's Christmas Singles chart. Comical parody version of the traditional English carol, ""The Twelve Days of Christmas"".[53]"
562,25th of last december,Roberta Flack,1977,"Peaked at No. 28 on Billboard's Easy Listening chart and No. 52 on Billboard's Hot Soul Singles chart in 1978.[57][529] Written by Gene McDaniels. Originally recorded for the 1977 album Blue Lights in the Basement. Flack re-recorded the song for her 1997 holiday album, The Christmas Album."
563,2000 miles,The Pretenders,1983,"Originally released as the B-side of the band's 1983 single ""Middle of the Road"", and then included on the band's 1984 album Learning to Crawl. Also covered by Holly Cole in 1989, and recorded by Coldplay in 2003 as a download single for charity."
564,twinkle twinkle little me,The Supremes,1965,Peaked at No. 5 on Billboard's Christmas Singles chart. Charted again in 1966 and 1967.[115]
565,twistin' bells,Santo & Johnny,1960,"Peaked at No. 49 on the Billboard Hot 100 singles chart. ""Twist-rock"" version of ""Jingle Bells"".[103][530]"
566,underneath the tree,Kelly Clarkson,2013,"Written by Clarkson and Greg Kurstin. Spent four weeks at No. 1 on Billboard's Adult Contemporary chart from December 2013 into early January 2014.[531] Also made these other Billboard music charts (with peak positions shown): Digital Song Sales (No. 17), Global 200 (No. 8), Holiday 100 (No. 8), Holiday Airplay (No. 24), Holiday Digital Song Sales (No. 3), Holiday Streaming Songs (No. 10), Hot 100 (No. 12), Hot 100 Recurrents (No. 3), and Streaming Songs (No. 11).[532]"
567,up on the house top,Kimberley Locke,2005,"Spent four weeks at No. 1 on Billboard's Adult Contemporary chart in December 2005 and early 2006.[533] First released by Gene Autry and the Cass County Boys in 1953, and re-recorded by Autry for his 1957 holiday album, Rudolph, the Red-Nosed Reindeer & other Christmas Favorites."
568,warm & fuzzy,Billy Gilman,2000,Peaked at No. 50 on Billboard's Hot Country Singles & Tracks chart in 2001.[93][534]
569,we need a little christmas,"Percy Faith, His Orchestra & Chorus",1966,"Peaked at No. 24 on Billboard's Holiday Airplay chart (week ending December 10, 2005) and at No. 73 on Billboard's Holiday 100 chart (week ending December 13, 2014).[535] Originally from the Broadway musical production Mame."
572,we three kings ,BlackHawk,1997,Peaked at No. 75 on Billboard's Hot Country Singles & Tracks chart in 1998. Composed by John Henry Hopkins in 1857.[135][539]
573,we wish you a merry christmas,Kenny G,2005,"Peaked at No. 15 on Billboard's Adult Contemporary.[540] Recorded by dozens of artists over the years, but Kenny G's 2005 recording was the first version to make any of Billboard's music charts."
574,welcome christmas,The Who Village Choir,1966,Written for the 1966 Dr. Seuss TV classic How the Grinch Stole Christmas!.
575,what are you doing new year's eve?,The Orioles,1949,"Peaked at No. 9 on Billboard's Best-Selling Retail Rhythm & Blues chart.[150][541] Written by Frank Loesser. First recorded by Margaret Whiting in 1947. Other charted versions include Danté & The Evergreens (1960),[113] and Nancy Wilson (1965).[85][542] Recorded by many other artists, including Dick Haymes & the Les Paul Trio (1947), Ella Fitzgerald (1960), Ramsey Lewis Trio (1960), King Curtis (1968), Johnny Mathis (1969), Patti LaBelle (1990), The Stylistics (1992), Harry Connick, Jr. (1993), Barbra Streisand (2001) and Diana Krall (2005)."
576,what can you get a wookiee for christmas ,The Star Wars Intergalactic Droid Choir & Chorale,1980,"Peaked at No. 69 on the Billboard Hot 100 singles chart. A novelty record featuring Star Wars' Chewbacca and included on the 1980 holiday album, Christmas in the Stars. The artist is actually disco producer Meco Monardo.[278]"
577,what child is this?,Mark Chesnutt,1996,"Peaked at No. 75 on Billboard's Hot Country Singles & Tracks chart in 1997. Included on the 1996 various artists album A Country Christmas.[8][543] Traditional 16th century English melody, known as ""Greensleeves"". Lyrics written in the 19th century by William Chatterton Dix. Also charted by Carrie Underwood (2009).[544]"
578,what christmas means to me,Stevie Wonder,1967,"From the album Someday at Christmas. Later versions were recorded by Paul Young (1992), Hanson (1997), Al Green (2004), and Jessica Simpson (2004)."
579,what does christmas mean?,Louis York featuring The Shindellas,2017,Peaked at No. 30 on the Billboard Adult Contemporary chart in 2018.
580,what will santa claus say ,Louis Prima and his New Orleans Gang,1936,
581,what will the new year bring?,Donna Fargo,1975,Peaked at No. 58 on Billboard's Hot Country Singles chart in 1976.[57][545]
582,whatever happened to christmas?,Frank Sinatra,1968,"Peaked at No. 7 on Billboard's Christmas Singles chart. Written by Jimmy Webb, and featuring the Don Costa Orchestra.[53] Covered by Aimee Mann in 2006."
583,when a child is born,Michael Holm,1974,"Peaked at No. 7 on Billboard's Easy Listening chart and No. 53 on the Billboard Hot 100 singles chart in 1975.[264][546] Covered in 1976 by Johnny Mathis, whose version spent three weeks at No. 1 on the Official UK Singles Chart in late December 1976 and early 1977. The melody was originally written as ""Soleado"" in 1972."
584,when winter comes,Artie Shaw & his Orchestra,1939,Peaked at No. 6 on the pop singles chart in mid-1939. Featuring vocals by Tony Pastor. From the 1939 film Second Fiddle.[103][547]
585,where are you christmas?,Faith Hill,2000,"Peaked at No. 10 Billboard's Adult Contemporary chart, No. 26 on Billboard's Hot Country Singles & Tracks chart and No. 65 on the Billboard Hot 100 singles chart in 2001. From the 2000 live action film, How the Grinch Stole Christmas.[264][548] Originally written for and intended to be sung by Mariah Carey, but she was not able due to record label disputes."
586,white christmas,Bing Crosby,1942,"Spent eleven weeks at No. 1 on Billboard's National Best Selling Retail Records chart and three weeks at No. 1 on Billboard's Harlem Hit Parade chart in late 1942. Written by Irving Berlin. Bing Crosby's original 1942 version featured the Ken Darby Singers and John Scott Trotter's Orchestra. The song debuted in the 1942 film Holiday Inn (sung by Crosby), then appeared in the 1954 color film titled after the song.[3][549] The familiar 1947 re-recording of the song by Crosby is still the best-selling Christmas single of all time in the U.S. (estimated at more than 50 million sold through the years), and appears on numerous holiday albums as well. Other charting recordings by Gordon Jenkins (1942), Charlie Spivak (1942),[145] Frank Sinatra (1944),[53] Freddy Martin (1945),[5] Jo Stafford (1946),[145] Ernest Tubb (1949),[83] and The Drifters (1954).[51] Elvis Presley's 1957 cover of the song garnered controversy when Irving Berlin called for his version to be banned from radio airplay."
587,white is in the winter night,Enya,2008,"Peaked at No. 8 on Billboard's Adult Contemporary chart.[524] Included on Enya's 2008 album, And Winter Came...."
588,the white world of winter,Bing Crosby,1965,"Peaked at No. 20 on the Billboard Christmas Singles chart. Written by Hoagy Carmichael and Mitchell Parish, and recorded with the Sonny Burke Orchestra.[189]"
589,who took the merry out of christmas,The Staple Singers,1970,Peaked at No. 2 on Billboard's Christmas Singles chart in 1973.
590,why couldn't it be christmas every day?,Bianca Ryan,2006,"Though not officially released as a single by Columbia Records, radio stations in several countries played the song in 2006 as part of their Christmas-themed programming."
591,will santy come to shanty town,"Eddy Arnold, the Tennessee Plowboy and his Guitar",1949,"Peaked at No. 5 on Billboard's Country & Western Records Most Played By Folk Disk Jockeys chart.[2][550] Written by Eddy Arnold, Steve Nelson and his younger brother Ed Nelson, Jr."
592,winter,Spike Jones and his City Slickers,1952,"Peaked at No. 23 on the pop singles chart in early 1953. Featuring the Mello Men on vocals. B-side to Jones's hit recording of ""I Saw Mommy Kissing Santa Claus"".[10]"
593,winter weather,Benny Goodman,1941,Peaked at No. 24 on the pop singles chart in 1942. Featuring Peggy Lee and Art Lund on vocals.[93] Also recorded in 1941 by Fats Waller. Later recordings include Jo Stafford (1955) and Tony Bennett (1968).
594,winter wonderland,Guy Lombardo and His Royal Canadians,1934,"Lombardo's version peaked at No. 2 on the pop singles chart in early 1935,[34][551] while a version by Ted Weems and his Orchestra peaked at No. 13 on the pop singles chart.[55][552] Written in 1934 by Felix Bernard (composer) and Richard B. Smith (lyricist). Covered by hundreds of artists. Other charted hit versions in Billboard include Perry Como and the Satisfiers (1946),[96][553] The Andrews Sisters with Guy Lombardo (1946),[2] Johnny Mercer and the Pied Pipers (1946),[278][554] Ramsey Lewis Trio (1966),[34][555] Dolly Parton (1984),[1] Lonestar (2000),[34] Pat Green (2003),[186] and Newsboys (2010)."
595,winter world of love,Engelbert Humperdinck,1969,Charted on both the Adult Contemporary and Billboard Hot 100 charts in 1969.[36]
596,wistful willie,Jimmie Rodgers,1959,"Peaked at No. 112 on Billboard's Bubbling Under Hot 100 Singles chart. Featuring the Joe Reisman Orchestra.[128] The flipside, ""It's Christmas Once Again"" reached the ""Beat Of The Week – Singles Coming Up"" survey in Music Vendor."
597,wizards in winter,Trans-Siberian Orchestra,2004,"Peaked at No. 18 on Billboard's Hot Adult Contemporary Tracks chart in 2005.[556] Taken from the group's third holiday album, The Lost Christmas Eve."
598,wonderful christmastime,Paul McCartney,1979,"Written and produced by McCartney. The single's B-side, ""Rudolph the Red-Nosed Reggae,"" is an instrumental cover of ""Rudolph the Red-Nosed Reindeer."" Debuted on Cash Box's Top 100 Singles chart on the week ending December 29, 1979, peaking at No. 83 two weeks later.[557] Also made these Billboard music charts (with peak positions shown): Adult Contemporary (No. 29), Adult Top 40 Airplay (No. 32), Christmas Singles (No. 10), Global 200 (No. 18), Holiday 100 (No. 15), Holiday Airplay (No. 8), Holiday Digital Song Sales (No. 17), Holiday Streaming Songs (No. 13), Hot 100 (No. 28), Hot 100 Recurrents (No. 1), Radio Songs (No. 48), Rock Digital Song Sales (No. 7), Rock Streaming Songs (No. 2), and Streaming Songs (No. 23).[47][558]"
599,the working elf blues,Daron Norwood,1994,"Peaked at No. 75 on Billboard's Hot Country Singles & Tracks chart in early 1995. Parody of Merle Haggard's ""Workin' Man Blues"".[100][559]"
600,wrapped in red,Kelly Clarkson,2013,Peaked at No. 2 on Billboard's Adult Contemporary chart in 2014. First released on Clarkson's 2013 holiday album of the same name.[560]
601,"yes, patricia, there is a santa claus",Jimmy Dean,1964,"Peaked at No. 14 on Billboard's Christmas Singles chart in 1965. Inspired by the famous 1897 newspaper editorial, ""Yes, Virginia, there is a Santa Claus"".[113] A version by José Ferrer had previously reached the Australian pop chart in 1961."
602,yingle bells,Yogi Yorgesson,1949,"Peaked at No. 7 on Billboard's Best-Selling Pop Singles chart. Instrumental backing by the Johnny Duffy Trio. Parody of ""Jingle Bells"".[272][561]"
603,you make it feel like christmas ,Neil Diamond,1984,"Peaked at No. 28 on Billboard's Adult Contemporary chart in 1985.[51][562] Originally appeared on Diamond's 1984 album Primitive, but later re-recorded and included on his 1992 holiday release, The Christmas Album."
604,you make it feel like christmas ,Gwen Stefani featuring Blake Shelton,2017,"Peaked at No. 9 on the Billboard Adult Contemporary chart in early 2018, at No. 37 on the Billboard Holiday 100 chart, and at No. 3 on the Billboard Holiday Digital Song Sales chart."
605,"you're a mean one, mr. grinch",Thurl Ravenscroft,1966,"From the 1966 Dr. Seuss holiday TV special How the Grinch Stole Christmas! Peaked at No. 32 on Billboard's Hot 100 chart on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Country Digital Song Sales (No. 23), Digital Song Sales (No. 33), Global 200 (No. 90), Holiday 100 (No. 14), Holiday Airplay (No. 23), Holiday Digital Song Sales (No. 2), Holiday Streaming Songs (No. 8), Hot 100 Recurrents (No. 3), and Streaming Songs (No. 25).[563]"
607,you're all i want for christmas ,Frankie Laine,1948,"Peaked at No. 11 on Billboard's Best-Selling Pop Singles chart in 1948 and No. 15 on Billboard's Race Records chart in 1949.[45][564] Written by Seger Ellis and Glen Moore. Also charted by Frank Gallagher in 1948.[131] Other versions recorded by Bing Crosby (1949), Eddie Fisher (1952),[57] Al Martino (1964),[47] Jackie Gleason (1967), and the Salsoul Orchestra (1981)."
608,you're all i want for christmas ,Brook Benton,1963,"Peaked at No. 3 on Billboard's Christmas Singles chart. Charted again in 1964. Featuring orchestration by Luchi DeJesus.[135] Different song than the same-titled hit by Frankie Laine from 1948. It was recorded in 1964 by Don Patterson for his album Holiday Soul. In 2011 Dutch singer Caro Emerald recorded a version, sampling Benton's original recording to produce a duet."
609,"'zat you, santa claus?",Garth Brooks,2002,Peaked at No. 56 on Billboard's Hot Country Singles & Tracks chart in 2003.[72][565] Written by Jack Fox. Originally recorded by Louis Armstrong with the Commanders in 1953. Another popular version was released by Buster Poindexter in 1987.
